user,distance,width,movement_time
1,40,6,849
1,40,8,881
1,40,10,815
1,40,14,495
1,40,18,435
1,40,20,416
1,60,6,1128
1,60,8,623
1,60,10,852
1,60,14,899
1,60,18,764
1,60,20,560
1,75,6,867
1,75,8,994
1,75,10,849
1,75,14,653
1,75,18,573
1,75,20,564
1,120,6,992
1,120,8,1699
1,120,10,1378
1,120,14,659
1,120,18,832
1,120,20,687
1,160,6,1186
1,160,8,853
1,160,10,944
1,160,14,778
1,160,18,682
1,160,20,849
1,160,20,768
1,210,6,996
1,210,8,1121
1,210,10,1394
1,210,14,1426
1,210,18,895
1,210,20,881
1,40,6,801
1,40,8,562
1,40,10,861
1,40,14,641
1,40,18,482
1,40,20,462
1,60,6,917
1,60,8,659
1,60,10,831
1,60,14,560
1,60,18,501
1,60,20,547
1,75,6,1247
1,75,8,672
1,75,10,674
1,75,14,701
1,75,18,554
1,75,20,493
1,120,6,929
1,120,8,800
1,120,10,845
1,120,14,785
1,120,18,736
1,120,20,834
1,160,6,1093
1,160,8,766
1,160,10,1092
1,160,14,624
1,160,18,717
1,160,20,921
1,210,6,1331
1,210,8,1186
1,210,10,720
1,210,14,978
1,210,18,850
1,210,20,928
1,40,6,655
1,40,8,544
1,40,10,784
1,40,14,624
1,40,18,526
1,40,20,435
1,60,6,861
1,60,8,575
1,60,10,820
1,60,14,575
1,60,18,782
1,60,20,529
1,75,6,1075
1,75,8,851
1,75,10,829
1,75,14,741
1,75,18,649
1,75,20,530
1,120,6,898
1,120,8,849
1,120,10,1156
1,120,14,866
1,120,18,886
1,120,20,594
1,160,6,1113
1,160,8,995
1,160,10,1089
1,160,10,2310
1,160,14,1009
1,160,18,837
1,160,20,783
1,210,6,1024
1,210,8,1023
1,210,10,918
1,210,14,848
1,210,18,801
1,210,20,816
1,40,6,678
1,40,8,576
1,40,10,753
1,40,14,564
1,40,18,468
1,40,20,433
1,60,6,609
1,60,8,542
1,60,10,655
1,60,14,723
1,60,18,531
1,60,20,657
1,75,6,1042
1,75,8,850
1,75,10,804
1,75,14,733
1,75,18,703
1,75,20,560
1,120,6,1058
1,120,6,818
1,120,8,882
1,120,10,658
1,120,14,784
1,120,18,606
1,120,20,642
1,160,6,1056
1,160,8,1059
1,160,10,1106
1,160,14,881
1,160,18,687
1,160,20,722
1,210,6,1152
1,210,8,1044
1,210,10,875
1,210,14,848
1,210,18,767
1,210,20,707
1,40,6,767
1,40,8,735
1,40,10,608
1,40,14,527
1,40,18,480
1,40,20,385
1,40,20,446
1,60,6,737
1,60,8,709
1,60,10,739
1,60,14,503
1,60,18,720
1,60,20,656
1,75,6,831
1,75,8,679
1,75,10,527
1,75,14,644
1,75,18,630
1,75,20,498
1,120,6,992
1,120,8,899
1,120,10,992
1,120,14,657
1,120,18,673
1,120,20,751
1,160,6,1106
1,160,8,1039
1,160,10,894
1,160,14,1024
1,160,18,802
1,160,20,640
1,210,6,1043
1,210,8,1363
1,210,10,690
1,210,14,946
1,210,18,866
1,210,20,752
1,40,6,877
1,40,8,708
1,40,10,787
1,40,14,561
1,40,18,445
1,40,20,466
1,60,6,755
1,60,8,847
1,60,10,669
1,60,14,675
1,60,18,559
1,60,20,866
1,75,6,1075
1,75,8,818
1,75,10,723
1,75,14,734
1,75,18,767
1,75,20,880
1,120,6,1201
1,120,8,893
1,120,10,1059
1,120,14,830
1,120,18,703
1,120,20,736
1,160,6,1106
1,160,8,816
1,160,10,1108
1,160,14,755
1,160,18,624
1,160,20,659
1,210,6,1008
1,210,8,880
1,210,10,913
1,210,14,1073
1,210,18,930
1,210,20,769
1,40,6,676
1,40,8,541
1,40,10,674
1,40,14,512
1,40,18,484
1,40,20,467
1,60,6,735
1,60,8,786
1,60,10,869
1,60,14,539
1,60,18,627
1,60,20,720
1,75,6,688
1,75,8,770
1,75,10,879
1,75,14,901
1,75,18,626
1,75,20,690
1,120,6,1522
1,120,8,867
1,120,10,768
1,120,14,631
1,120,18,786
1,120,20,673
1,160,6,1488
1,160,8,682
1,160,10,880
1,160,10,1746
1,160,14,1025
1,160,18,770
1,160,20,799
1,210,6,1129
1,210,8,1217
1,210,10,818
1,210,14,1056
1,210,18,1121
1,210,20,835
1,40,6,576
1,40,8,564
1,40,8,785
1,40,10,735
1,40,14,513
1,40,18,400
1,40,20,605
1,60,6,611
1,60,10,687
1,60,14,686
1,60,18,653
1,60,20,673
1,75,6,690
1,75,8,833
1,75,10,836
1,75,14,704
1,75,18,528
1,75,20,496
1,120,6,979
1,120,8,782
1,120,10,1071
1,120,14,542
1,120,18,994
1,120,20,849
1,160,6,1142
