taskID,amplitude,width,movetime
0,200,20,350
0,200,20,306
0,200,20,288
0,200,20,296
0,200,20,298
0,200,20,267
0,200,20,311
0,200,20,287
0,200,20,306
0,200,20,317
0,200,20,253
0,200,20,260
0,200,20,309
0,200,20,323
0,200,20,313
0,200,20,320
0,200,20,273
0,200,20,260
0,200,20,317
0,200,20,269
1,200,25,287
1,200,25,343
1,200,25,307
1,200,25,376
1,200,25,343
1,200,25,362
1,200,25,309
1,200,25,363
1,200,25,306
1,200,25,356
1,200,25,353
1,200,25,350
1,200,25,283
1,200,25,290
1,200,25,367
1,200,25,282
1,200,25,327
1,200,25,393
2,200,30,290
2,200,30,257
2,200,30,203
2,200,30,253
2,200,30,203
2,200,30,269
2,200,30,253
2,200,30,257
2,200,30,173
2,200,30,230
2,200,30,190
2,200,30,240
2,200,30,239
2,200,30,266
2,200,30,183
2,200,30,267
2,200,30,200
2,200,30,307
2,200,30,190
2,200,30,263
3,200,40,253
3,200,40,297
3,200,40,280
3,200,40,260
3,200,40,246
3,200,40,240
3,200,40,253
3,200,40,265
3,200,40,264
3,200,40,239
3,200,40,283
3,200,40,279
3,200,40,270
3,200,40,233
3,200,40,230
3,200,40,261
3,200,40,217
3,200,40,283
3,200,40,317
4,200,50,262
4,200,50,173
4,200,50,194
4,200,50,207
4,200,50,167
4,200,50,187
4,200,50,226
4,200,50,197
4,200,50,203
4,200,50,176
4,200,50,240
4,200,50,163
4,200,50,213
4,200,50,174
4,200,50,167
4,200,50,164
4,200,50,216
4,200,50,150
4,200,50,147
4,200,50,150
5,200,80,140
5,200,80,120
5,200,80,160
5,200,80,137
5,200,80,137
5,200,80,119
5,200,80,147
5,200,80,133
5,200,80,143
5,200,80,150
5,200,80,127
5,200,80,99
5,200,80,176
5,200,80,86
5,200,80,120
5,200,80,104
5,200,80,129
5,200,80,123
5,200,80,126
6,300,20,632
6,300,20,756
6,300,20,710
6,300,20,724
6,300,20,573
6,300,20,580
6,300,20,767
6,300,20,643
6,300,20,707
6,300,20,623
6,300,20,650
6,300,20,655
6,300,20,648
6,300,20,633
6,300,20,683
6,300,20,686
6,300,20,637
6,300,20,580
6,300,20,656
6,300,20,556
